Time,Country,GDP,HCI,Pop,CO2
2011,China,7550000000000, ,1344130000,9733538
2011,France,2860000000000, ,65342780,331805
2011,Germany,3760000000000, ,80274983,732498
2011,India,1820000000000, ,1250288729,1841776
2011,Indonesia,893000000000, ,245116206,603665
2011,Italy,2280000000000, ,59379449,397994
2011,Japan,6160000000000, ,127833000,1191075
2011,Mexico,1180000000000, ,115695473,484429
2011,Russian Federation,2050000000000, ,142960868,1763405
2011,Saudi Arabia,671000000000, ,28267685,499878
2011,South Africa,416000000000, ,52004172,470582
2011,Turkey,833000000000, ,73443863,320841
2011,United Kingdom,2630000000000, ,63258918,447829
2011,United States,15500000000000, ,311580009,5289681
2012,Argentina,546000000000, ,41733271,192356
2012,Australia,1550000000000, ,22733465,388126
2012,Brazil,2470000000000, ,199287296,470029
2012,Canada,1820000000000, ,34714222,517458
2012,China,8530000000000, ,1350695000,10028574
2012,France,2680000000000, ,65659809,333228
2012,Germany,3540000000000, ,80425823,739861
2012,India,1830000000000, ,1265782790,2018504
2012,Indonesia,918000000000, ,248452413,637079
2012,Italy,2070000000000, ,59539717,369469
2012,Japan,6200000000000, ,127629000,1230168
2012,Mexico,1200000000000, ,117274155,496325
2012,Russian Federation,2210000000000, ,143201676,1830830
2012,Saudi Arabia,736000000000, ,29155187,564843
2012,South Africa,396000000000, ,52834005,468771
2012,Turkey,874000000000, ,74653016,329561
2012,United Kingdom,2680000000000, ,63700300,468573
2012,United States,16200000000000, ,313874218,5119436
2013,Argentina,552000000000, ,42202935,189852
2013,Australia,1580000000000, ,23128129,372267
2013,Brazil,2470000000000, ,201035903,503677
2013,Canada,1840000000000, ,35082954,517161
2013,China,9570000000000, ,1357380000,10258007
2013,France,2810000000000, ,65998687,334097
2013,Germany,3750000000000, ,80645605,757313
2013,India,1860000000000, ,1280846129,2034752
2013,Indonesia,913000000000, ,251806402,490227
2013,Italy,2130000000000, ,60233948,345318
2013,Japan,5160000000000, ,127445000,1246516
2013,Mexico,1270000000000, ,118827161,490340
2013,Russian Federation,2300000000000, ,143506911,1778561
2013,Saudi Arabia,747000000000, ,30052518,541048
2013,South Africa,367000000000, ,53689236,466376
2013,Turkey,951000000000, ,75928564,324772
2013,United Kingdom,2750000000000, ,64128226,458250
2013,United States,16800000000000, ,316057727,5159161
2014,Argentina,526000000000, ,42669500,204025
2014,Australia,1470000000000, ,23475686,361262
2014,Brazil,2460000000000, ,202763735,529808
2014,Canada,1800000000000, ,35437435,537194
2014,China,10400000000000, ,1364270000,10291927
